iter	Passed	Remaining
753	23284	7596
754	23314	7565
755	23345	7534
756	23375	7503
757	23406	7472
758	23438	7442
759	23468	7411
760	23497	7379
761	23529	7349
762	23561	7318
763	23591	7287
764	23622	7256
765	23654	7226
766	23687	7195
767	23716	7164
768	23749	7133
769	23779	7102
770	23810	7072
771	23841	7041
772	23870	7009
773	23901	6978
774	23932	6948
775	23963	6917
776	23992	6885
777	24022	6854
778	24053	6823
779	24083	6792
780	24114	6761
781	24143	6730
782	24175	6699
783	24207	6669
784	24238	6638
785	24267	6607
786	24297	6576
787	24328	6545
788	24358	6514
789	24390	6483
790	24421	6452
791	24451	6421
792	24481	6390
793	24512	6359
794	24544	6329
795	24580	6299
796	24610	6268
797	24640	6237
798	24673	6206
799	24703	6175
800	24734	6145
801	24765	6114
802	24796	6083
803	24824	6051
804	24854	6020
805	24885	5989
806	24915	5958
807	24948	5928
808	24977	5897
809	25008	5866
810	25038	5835
811	25069	5804
812	25100	5773
813	25130	5742
814	25161	5711
815	25191	5680
816	25221	5649
817	25252	5618
818	25283	5587
819	25314	5556
820	25344	5525
821	25375	5494
822	25408	5464
823	25441	5434
824	25473	5403
825	25504	5372
826	25539	5342
827	25571	5311
828	25603	5281
829	25633	5250
830	25666	5219
831	25700	5189
832	25733	5159
833	25766	5128
834	25800	5098
835	25832	5067
836	25865	5037
837	25899	5006
838	25934	4976
839	25969	4946
840	26004	4916
841	26037	4885
842	26068	4855
843	26102	4824
844	26133	4793
845	26165	4762
846	26199	4732
847	26232	4702
848	26263	4671
849	26297	4640
850	26329	4609
851	26360	4578
852	26389	4547
853	26420	4516
854	26450	4485
855	26481	4454
856	26512	4423
857	26544	4393
858	26574	4362
859	26606	4331
860	26640	4300
861	26675	4270
862	26705	4239
863	26739	4208
864	26769	4177
865	26800	4146
866	26832	4116
867	26862	4085
868	26892	4054
869	26924	4023
870	26955	3992
871	26983	3960
872	27014	3929
873	27046	3899
874	27077	3868
875	27106	3836
876	27136	3805
877	27167	3775
878	27200	3744
879	27231	3713
880	27263	3682
881	27297	3651
882	27328	3621
883	27357	3589
884	27387	3558
885	27419	3528
886	27449	3496
887	27479	3465
888	27510	3434
889	27541	3404
890	27570	3372
891	27599	3341
892	27629	3310
893	27660	3279
894	27689	3248
895	27718	3217
896	27748	3186
897	27778	3155
898	27807	3124
899	27837	3093
900	27867	3062
901	27900	3031
902	27929	3000
903	27960	2969
904	27989	2938
905	28017	2906
906	28047	2875
907	28077	2844
908	28109	2813
909	28138	2782
910	28170	2752
911	28199	2721
912	28228	2689
913	28259	2658
914	28290	2628
915	28320	2597
916	28350	2566
917	28381	2535
918	28413	2504
919	28441	2473
920	28472	2442
921	28503	2411
922	28534	2380
923	28564	2349
924	28593	2318
925	28624	2287
926	28655	2256
927	28684	2225
928	28715	2194
929	28745	2163
930	28775	2132
931	28807	2101
932	28837	2070
933	28867	2039
934	28899	2009
935	28930	1978
936	28960	1947
937	28989	1916
938	29020	1885
939	29051	1854
940	29080	1823
941	29110	1792
942	29141	1761
943	29171	1730
944	29202	1699
945	29233	1668
946	29263	1637
947	29293	1606
948	29325	1575
949	29354	1544
950	29385	1514
951	29417	1483
952	29448	1452
953	29479	1421
954	29509	1390
955	29541	1359
956	29572	1328
957	29601	1297
958	29632	1266
959	29663	1235
960	29693	1205
961	29724	1174
962	29754	1143
963	29784	1112
964	29814	1081
965	29844	1050
966	29875	1019
967	29907	988
968	29938	957
969	29967	926
970	29997	895
971	30028	865
972	30059	834
973	30089	803
974	30120	772
975	30150	741
976	30180	710
977	30210	679
978	30240	648
979	30270	617
980	30314	587
981	30344	556
982	30374	525
983	30403	494
984	30432	463
985	30463	432
986	30493	401
987	30524	370
988	30556	339
989	30585	308
990	30617	278
991	30647	247
992	30679	216
993	30709	185
994	30739	154
995	30772	123
996	30803	92
997	30834	61
998	30866	30
999	30898	0
